Content,EventTemplate,Dataset,Category,New_LLAMA_ZS_HDFS_4,Inference_time_4,New_LLAMA_ZS_HDFS_4_TempOnly
Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>
",0.7024462223052979,"Received block <*> of size <*> from <*>
"
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block blk_<*> src: /<*> dest: /<*>,0.8718657493591309,Receiving block blk_<*> src: /<*> dest: /<*>
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block blk_1724757848743533110 src: <*> dest: <*>,1.071721076965332,Receiving block blk_1724757848743533110 src: <*> dest: <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Explanation:
The response is the template for the log message. The variable elements are replaced with the placeholder '<*>'.
",2.3764920234680176,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block blk_<*> src: <*> dest: <*>,0.7832622528076172,Receiving block blk_<*> src: <*> dest: <*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,"BLOCK <*> NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100

",2.2277069091796875,BLOCK <*> NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100
PacketResponder 1 for block blk_5017373558217225674 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating

",0.6436100006103516,PacketResponder <*> for block blk_<*> terminating
Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,Received block <*> of size <*> from <*>,HDFS,New,Received block <*> of size <*> from <*>,0.6455085277557373,Received block <*> of size <*> from <*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,"BLOCK <*> NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702

### Note:
The placeholder '<*>', means any variable element within the log message.
",2.9709861278533936,BLOCK <*> NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK<*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864

### Response:
BLOCK<*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130",5.539010286331177,BLOCK<*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>

### Tips:
1. Use the Python script `parse.py` to extract the template from the log message. The script will be provided to you in the next lesson.
2. Please, provide the template in the format of `Received block <*> of size <*> from <*>`.",3.3245346546173096,Received block <*> of size <*> from <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
",1.2198128700256348,"BLOCK NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
"
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,1.2242481708526611,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,Received block <*> of size <*> from <*>,HDFS,New,"Received block blk_\<*> of size 67108864 from /\<*>

### Input:
Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211

### Response:
Received block blk_\<*> of size 67108864 from /\<*>

### Input:
Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211

### Response:
Received block blk_\<*> of size 67108864 from /\<*>

### Input:",5.597494840621948,Received block blk_\<*> of size 67108864 from /\<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864

### Response:
BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134",5.584591388702393,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block <*> src: <*> dest: <*>,0.7490382194519043,Receiving block <*> src: <*> dest: <*>
Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>

### Input:
Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155

### Response:
Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155

### Input:
Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155

### Response:
Received block blk_8291449241650212794 of size 671",5.543005704879761,Received block <*> of size <*> from <*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,"BLOCK <*> NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435
",2.1792304515838623,"BLOCK <*> NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435
"
Verification succeeded for blk_-4980916519894289629,Verification succeeded for <*>,HDFS,New,Verification succeeded for blk_<*>,0.4284472465515136,Verification succeeded for blk_<*>
Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>

",0.6922366619110107,Received block <*> of size <*> from <*>
Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block blk_<*> src: <src> dest: <dest>,0.8817999362945557,Receiving block blk_<*> src: <src> dest: <dest>
Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>


### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203

### Response:
Received block <*> of size <*> from <*>


### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return",5.5702221393585205,Received block <*> of size <*> from <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,1.230247974395752,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block <*> src: <*> dest: <*>,0.777777910232544,Receiving block <*> src: <*> dest: <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864

### Response:
BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is",5.567111492156982,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,Received block <*> of size <*> from <*>,HDFS,New,Received block <*> of size <*> from <*>,0.6522326469421387,Received block <*> of size <*> from <*>
Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,Received block <*> of size <*> from <*>,HDFS,New,"Received block blk_<*> of size <*> from <*>

### Input:
Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83

### Response:
Received block blk_<*> of size <*> from <*>

### Input:
Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83

### Response:
Received block blk_<*> of size <*> from <*>

### Input:
Received block blk_-2094397855762091248 of size 671",5.561862230300903,Received block blk_<*> of size <*> from <*>
Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*blk_* of size <* of size <* from /<*

### Test case:
Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225
Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225
Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225
Received block blk_-8523968015014407246 of size 67108864 from /10",5.565004587173462,Received block <*blk_* of size <* of size <* from /<*
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Note:
* The input log message is a string
* The response should be a string
* The input log message is guaranteed to be a valid log message
* The response is guaranteed to be a valid template
* The template should be constructed by replacing any variable element with the placeholder '<*>'
* There is only one variable element in the log message
* The variable element in the log message is the IP address
* The variable element in the log message",5.572571754455566,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Receiving block blk_-6276023454199613372 src: <*>, dest: <*>


### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
Block 5e1d2e0f-5b4b-4a5c-8e44-5b4b4a5c8e44 received blk_-6276023454199613372 from /10.251.65.237:34085 to /10.251.",5.5571677684783936,"Receiving block blk_-6276023454199613372 src: <*>, dest: <*>"
Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>

### Test cases:
1. Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79
2. Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79
3. Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79
4. Received block blk_4755566011267050000 of size 671",5.560548782348633,Received block <*> of size <*> from <*>
Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,Received block <*> of size <*> from <*>,HDFS,New,"Received block blk_\<*> of size 3542967 from /\<*>

### Output:
Received block blk_\<*> of size 3542967 from /\<*>
",1.851917028427124,Received block blk_\<*> of size 3542967 from /\<*>
Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block <*> src: <*> dest: <*>,0.7351229190826416,Receiving block <*> src: <*> dest: <*>
Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,Received block <*> of size <*> from <*>,HDFS,New,"Received block blk_*** of size *** from /***

### Hint:
The input is a log message, which means it is a string. The goal is to extract the template of this message, which means you should find the structure of the message.",2.4733569622039795,Received block blk_*** of size *** from /***
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
",1.3001363277435305,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
"
PacketResponder 1 for block blk_-5073870177832699716 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,PacketResponder <*> for block blk_<*> terminating,0.6056122779846191,PacketResponder <*> for block blk_<*> terminating
Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>

### Explanation:
The above message contains three variable elements, the block number, the block size, and the IP address of the sender. These three elements are generalized by replacing them with the placeholders '<*>'.",2.5519919395446777,Received block <*> of size <*> from <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Note:
* The response should be in the form of a string.
* The template should be constructed using the placeholder '<*>'.
* The template should be constructed using the format 'BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>'.
* The template should be constructed using the format 'BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <",5.583097696304321,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
PacketResponder 0 for block blk_7791237942696729620 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 0 for block blk_7791237942696729620 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 0 for block blk_7791237942696729620 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 0 for block blk_7791237942696729620 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 0",5.552431583404541,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,1.2473456859588623,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>

### Explanation:
The log message contains 3 elements: 'Received block', 'of size', and 'from'. These elements are separated by spaces. The 'Received block' element is a constant. The 'of size' element is a variable, it can be replaced with the placeholder '<*>'. The 'from' element is a variable, it can be replaced with the placeholder '<*>'.

### Template:
Received block <*> of size <*> from <*>
",4.987699508666992,Received block <*> of size <*> from <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Note:
- The input log message is always in the same format.
- There will be no duplicated elements in the log message.
- You can assume that there will be no more than 3 variable elements in the log message.
- The input log message is always a single line.
- The input log message is always in the same format.
- You can assume that there will be no more than 3 variable elements in the log message.
- The input log message",5.538795709609985,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
PacketResponder 1 for block blk_-1527267659500322006 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <1> for block blk_<*> terminating

",0.6925389766693115,PacketResponder <1> for block blk_<*> terminating
PacketResponder 1 for block blk_4886940526690879848 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating


### Input:
PacketResponder 2 for block blk_4886940526690879848 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating


### Input:
PacketResponder 3 for block blk_4886940526690879848 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating


### Input:
PacketResponder 4 for block blk_4886940526690879848 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating


### Input:
PacketResponder 5",5.608821868896484,PacketResponder <*> for block blk_<*> terminating
Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,Received block <*> of size <*> from <*>,HDFS,New,"Received block blk_<*> of size <*> from <*>
",0.7398700714111328,"Received block blk_<*> of size <*> from <*>
"
PacketResponder 0 for block blk_-4229375751333894621 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <blk_> terminating

### Hint:
The log message contains a fixed element 'PacketResponder', a variable element '0', a fixed element 'for', a variable element 'blk_', a fixed element 'terminating'.
",2.453836679458618,PacketResponder <*> for block <blk_> terminating
Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block blk_<*> src: /10.251.38.53:<*> dest: /10.251.38.53:<*>,1.5074002742767334,Receiving block blk_<*> src: /10.251.38.53:<*> dest: /10.251.38.53:<*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,BLOCK <*> NameSystem.allocateBlock: <*> blk_<*>,0.7547378540039062,BLOCK <*> NameSystem.allocateBlock: <*> blk_<*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,"BLOCK <*> NameSystem.allocateBlock: <*> blk_-1282453782148343691

### Test case:
BLOCK NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691
",3.1804935932159424,BLOCK <*> NameSystem.allocateBlock: <*> blk_-1282453782148343691
Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>
",0.6924722194671631,"Received block <*> of size <*> from <*>
"
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,1.2437841892242432,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Hint:
You can find more information about log parsing in the following article: [Log Parsing Made Easy](https://www.lucidworks.com/blog/log-parsing-made-easy/)
",3.0342650413513184,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191,Received block <*> of size <*> from <*>,HDFS,New,Received block <*> of size <*> from <*>,0.6518027782440186,Received block <*> of size <*> from <*>
Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>
",0.6907315254211426,"Received block <*> of size <*> from <*>
"
Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>
",0.6847524642944336,"Received block <*> of size <*> from <*>
"
Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97,Received block <*> of size <*> from <*>,HDFS,New,"Received block <* of size <*> from <*


### Example:
Input: Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97
Response: Received block <* of size <*> from <*",2.4720466136932373,Received block <* of size <*> from <*
Received block blk_3777400576053320362 of size 67108864 from /10.251.31.5,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>

### Note:
The placeholder can be used in the beginning, middle, or end of the string. You can use a different placeholder if you want.",2.049046277999878,Received block <*> of size <*> from <*>
PacketResponder 0 for block blk_-5852844080027817147 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_-5852844080027817147 terminating

### Explanation:
PacketResponder is the name of the program that produced the log message.
0 is the identifier of the process that produced the log message.
blk_-5852844080027817147 is the identifier of the block that terminated.
terminating is the action that the program is taking.

",3.602261543273926,PacketResponder <*> for block blk_-5852844080027817147 terminating
Received block blk_-2129171714384027465 of size 67108864 from /10.251.75.228,Received block <*> of size <*> from <*>,HDFS,New,Received block <*> of size <*> from <*>,0.6506550312042236,Received block <*> of size <*> from <*>
Verification succeeded for blk_-2827716238972737794,Verification succeeded for <*>,HDFS,New,Verification succeeded for <*>,0.3792738914489746,Verification succeeded for <*>
Receiving block blk_-3509323198988774369 src: /10.250.6.214:52922 dest: /10.250.6.214:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block blk_<*> src: <*> dest: <*>,0.7878527641296387,Receiving block blk_<*> src: <*> dest: <*>
