Content,EventTemplate,Dataset,Category,Unseen_LLAMA_FT_BGL_5,Inference_time_5
guaranteed data cache block touch........1,guaranteed data cache block touch........<*>,BGL,Unseen,guaranteed data cache block touch........<*>,0.8010623455047607
special purpose registers:,special purpose registers:,BGL,Unseen,special purpose registers:,0.4177374839782715
debug wait enable.................0,debug wait enable.................<*>,BGL,Unseen,debug wait enable.................<*>,0.608755350112915
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.5392022132873535
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.5431408882141113
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.5442256927490234
generating core.42,generating core.<*>,BGL,Unseen,generating core.<*>,0.48409056663513184
total of 1 ddr error(s) detected and corrected,total of <*> ddr error(s) detected and corrected,BGL,Unseen,total of <*> ddr error(s) detected and corrected,0.8677611351013184
generating core.145,generating core.<*>,BGL,Unseen,generating core.<*>,0.484454870223999
generating core.1978,generating core.<*>,BGL,Unseen,generating core.<*>,0.4821343421936035
generating core.2040,generating core.<*>,BGL,Unseen,generating core.<*>,0.48335862159729004
generating core.15,generating core.<*>,BGL,Unseen,generating core.<*>,0.5019199848175049
generating core.16218,generating core.<*>,BGL,Unseen,generating core.<*>,0.48824620246887207
generating core.8531,generating core.<*>,BGL,Unseen,generating core.<*>,0.4905855655670166
generating core.2961,generating core.<*>,BGL,Unseen,generating core.<*>,0.4874722957611084
generating core.15966,generating core.<*>,BGL,Unseen,generating core.<*>,0.4836456775665283
generating core.42,generating core.<*>,BGL,Unseen,generating core.<*>,0.4967949390411377
generating core.93,generating core.<*>,BGL,Unseen,generating core.<*>,0.4826064109802246
generating core.2605,generating core.<*>,BGL,Unseen,generating core.<*>,0.47934818267822266
generating core.6037,generating core.<*>,BGL,Unseen,generating core.<*>,0.47547149658203125
generating core.886,generating core.<*>,BGL,Unseen,generating core.<*>,0.5086898803710938
generating core.3053,generating core.<*>,BGL,Unseen,generating core.<*>,0.48468661308288574
generating core.2790,generating core.<*>,BGL,Unseen,generating core.<*>,0.4839749336242676
generating core.1488,generating core.<*>,BGL,Unseen,generating core.<*>,0.48772549629211426
generating core.2186,generating core.<*>,BGL,Unseen,generating <*>,0.35755181312561035
generating core.978,generating core.<*>,BGL,Unseen,generating core.<*>,0.48355555534362793
generating core.2808,generating core.<*>,BGL,Unseen,generating core.<*>,0.5033798217773438
generating core.2486,generating core.<*>,BGL,Unseen,generating core.<*>,0.49225425720214844
generating core.334,generating core.<*>,BGL,Unseen,generating core.<*>,0.5046164989471436
generating core.5401,generating core.<*>,BGL,Unseen,generating core.<*>,0.4853391647338867
generating core.14418,generating core.<*>,BGL,Unseen,generating core.<*>,0.4815230369567871
generating core.2558,generating core.<*>,BGL,Unseen,generating core.<*>,0.4785168170928955
generating core.9785,generating core.<*>,BGL,Unseen,generating core.<*>,0.47940540313720703
generating core.4614,generating core.<*>,BGL,Unseen,generating core.<*>,0.4814469814300537
generating core.7615,generating core.<*>,BGL,Unseen,generating core.<*>,0.4860670566558838
generating core.15935,generating core.<*>,BGL,Unseen,generating core.<*>,0.48288822174072266
generating core.8089,generating core.<*>,BGL,Unseen,generating core.<*>,0.4833369255065918
generating core.4660,generating core.<*>,BGL,Unseen,generating core.<*>,0.4865729808807373
generating core.721,generating core.<*>,BGL,Unseen,generating core.<*>,0.5032892227172852
generating core.5287,generating core.<*>,BGL,Unseen,generating core.<*>,0.4858386516571045
generating core.783,generating core.<*>,BGL,Unseen,generating core.<*>,0.4823153018951416
generating core.24721,generating core.<*>,BGL,Unseen,generating core.<*>,0.48574233055114746
generating core.4184,generating core.<*>,BGL,Unseen,generating <*>,0.35634613037109375
generating core.58109,generating core.<*>,BGL,Unseen,generating core.<*>,0.48021888732910156
generating core.9881,generating core.<*>,BGL,Unseen,generating core.<*>,0.47989702224731445
generating core.19579,generating core.<*>,BGL,Unseen,generating core.<*>,0.501009464263916
generating core.4501,generating core.<*>,BGL,Unseen,generating core.<*>,0.4848823547363281
generating core.50230,generating core.<*>,BGL,Unseen,generating core.<*>,0.485365629196167
generating core.62516,generating core.<*>,BGL,Unseen,generating core.<*>,0.47975659370422363
generating core.27921,generating core.<*>,BGL,Unseen,generating core.<*>,0.48883605003356934
generating core.16830,generating core.<*>,BGL,Unseen,generating core.<*>,0.4834752082824707
generating core.9369,generating core.<*>,BGL,Unseen,generating core.<*>,0.4829587936401367
generating core.10140,generating core.<*>,BGL,Unseen,generating core.<*>,0.48862147331237793
generating core.37749,generating core.<*>,BGL,Unseen,generating core.<*>,0.4837803840637207
generating core.9654,generating core.<*>,BGL,Unseen,generating core.<*>,0.4815843105316162
generating core.56155,generating core.<*>,BGL,Unseen,generating core.<*>,0.49024248123168945
generating core.40250,generating core.<*>,BGL,Unseen,generating core.<*>,0.4810924530029297
generating core.45353,generating core.<*>,BGL,Unseen,generating core.<*>,0.47878384590148926
generating core.9578,generating core.<*>,BGL,Unseen,generating core.<*>,0.5003883838653564
generating core.14856,generating core.<*>,BGL,Unseen,generating core.<*>,0.48444342613220215
generating core.62468,generating core.<*>,BGL,Unseen,generating core.<*>,0.48895907402038574
generating core.38415,generating core.<*>,BGL,Unseen,generating core.<*>,0.4876525402069092
generating core.39138,generating core.<*>,BGL,Unseen,generating <*>,0.3525388240814209
generating core.10394,generating core.<*>,BGL,Unseen,generating core.<*>,0.4784419536590576
generating core.41347,generating core.<*>,BGL,Unseen,generating core.<*>,0.4781019687652588
generating core.7619,generating core.<*>,BGL,Unseen,generating core.<*>,0.4790070056915283
generating core.54486,generating core.<*>,BGL,Unseen,generating core.<*>,0.4854586124420166
generating core.22421,generating core.<*>,BGL,Unseen,generating core.<*>,0.4837479591369629
generating core.18261,generating core.<*>,BGL,Unseen,generating core.<*>,0.4811065196990967
generating core.58616,generating core.<*>,BGL,Unseen,generating core.<*>,0.4805488586425781
generating core.47736,generating core.<*>,BGL,Unseen,generating core.<*>,0.4860191345214844
generating core.25048,generating core.<*>,BGL,Unseen,generating core.<*>,0.4827413558959961
generating core.58777,generating core.<*>,BGL,Unseen,generating core.<*>,0.4857001304626465
generating core.49137,generating core.<*>,BGL,Unseen,generating core.<*>,0.48998141288757324
generating core.42553,generating core.<*>,BGL,Unseen,generating core.<*>,0.48586583137512207
generating core.2109,generating core.<*>,BGL,Unseen,generating core.<*>,0.48712944984436035
generating core.718,generating core.<*>,BGL,Unseen,generating core.<*>,0.4889516830444336
generating core.10752,generating core.<*>,BGL,Unseen,generating core.<*>,0.4858241081237793
generating core.323,generating core.<*>,BGL,Unseen,generating core.<*>,0.48362231254577637
generating core.21112,generating core.<*>,BGL,Unseen,generating core.<*>,0.4817464351654053
generating core.28370,generating core.<*>,BGL,Unseen,generating core.<*>,0.48369669914245605
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,BGL,Unseen,program interrupt: privileged instruction...<*>,0.6707758903503418
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by dcbf.........<*>,0.8765373229980469
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.8162703514099121
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.8199958801269531
generating core.14700,generating core.<*>,BGL,Unseen,generating core.<*>,0.48679542541503906
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,BGL,Unseen,program interrupt: privileged instruction...<*>,0.6720573902130127
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by dcbf.........<*>,0.9059603214263916
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by dcbf.........<*>,0.875159740447998
generating core.1786,generating core.<*>,BGL,Unseen,generating core.<*>,0.4811370372772217
generating core.26918,generating core.<*>,BGL,Unseen,generating core.<*>,0.48206615447998047
generating core.10125,generating core.<*>,BGL,Unseen,generating core.<*>,0.4856405258178711
generating core.4230,generating core.<*>,BGL,Unseen,generating core.<*>,0.4856882095336914
generating core.179,generating core.<*>,BGL,Unseen,generating core.<*>,0.5008525848388672
generating core.1177,generating core.<*>,BGL,Unseen,generating core.<*>,0.5048272609710693
generating core.32693,generating core.<*>,BGL,Unseen,generating core.<*>,0.48393940925598145
generating core.7151,generating core.<*>,BGL,Unseen,generating core.<*>,0.4815375804901123
generating core.7023,generating core.<*>,BGL,Unseen,generating core.<*>,0.4865453243255615
generating core.29308,generating core.<*>,BGL,Unseen,generating <*>,0.3581879138946533
generating core.2586,generating core.<*>,BGL,Unseen,generating core.<*>,0.4862406253814697
generating core.6040,generating core.<*>,BGL,Unseen,generating core.<*>,0.48844170570373535
generating core.16904,generating core.<*>,BGL,Unseen,generating core.<*>,0.48969006538391113
generating core.26186,generating core.<*>,BGL,Unseen,generating core.<*>,0.48905277252197266
generating core.26156,generating core.<*>,BGL,Unseen,generating core.<*>,0.4890289306640625
generating core.2112,generating core.<*>,BGL,Unseen,generating core.<*>,0.49201154708862305
generating core.23659,generating core.<*>,BGL,Unseen,generating core.<*>,0.4819154739379883
generating core.1605,generating core.<*>,BGL,Unseen,generating core.<*>,0.4799482822418213
generating core.16483,generating core.<*>,BGL,Unseen,generating core.<*>,0.48403429985046387
generating core.257,generating core.<*>,BGL,Unseen,generating core.<*>,0.48354077339172363
generating core.18751,generating core.<*>,BGL,Unseen,generating core.<*>,0.48987483978271484
generating core.22783,generating core.<*>,BGL,Unseen,generating <*>,0.357959508895874
generating core.8021,generating core.<*>,BGL,Unseen,generating core.<*>,0.4832034111022949
generating core.10734,generating core.<*>,BGL,Unseen,generating core.<*>,0.4840810298919678
generating core.3613,generating core.<*>,BGL,Unseen,generating core.<*>,0.4962291717529297
generating core.1916,generating core.<*>,BGL,Unseen,generating core.<*>,0.48409318923950195
generating core.4246,generating core.<*>,BGL,Unseen,generating core.<*>,0.48549413681030273
generating core.7777,generating core.<*>,BGL,Unseen,generating core.<*>,0.48553013801574707
generating core.5935,generating core.<*>,BGL,Unseen,generating core.<*>,0.4919743537902832
generating core.8691,generating core.<*>,BGL,Unseen,generating core.<*>,0.5102889537811279
generating core.5512,generating core.<*>,BGL,Unseen,generating core.<*>,0.48726820945739746
generating core.1123,generating core.<*>,BGL,Unseen,generating core.<*>,0.5145044326782227
generating core.1641,generating core.<*>,BGL,Unseen,generating core.<*>,0.49179863929748535
generating core.1165,generating core.<*>,BGL,Unseen,generating core.<*>,0.48823046684265137
generating core.23615,generating core.<*>,BGL,Unseen,generating core.<*>,0.4890143871307373
generating core.865,generating core.<*>,BGL,Unseen,generating core.<*>,0.4820363521575928
generating core.1626,generating core.<*>,BGL,Unseen,generating core.<*>,0.4913754463195801
generating core.16594,generating core.<*>,BGL,Unseen,generating core.<*>,0.4828510284423828
generating core.30586,generating core.<*>,BGL,Unseen,generating <*>,0.367260217666626
generating core.18540,generating core.<*>,BGL,Unseen,generating core.<*>,0.4885859489440918
generating core.9825,generating core.<*>,BGL,Unseen,generating core.<*>,0.4846622943878174
generating core.6698,generating core.<*>,BGL,Unseen,generating core.<*>,0.488689661026001
generating core.4525,generating core.<*>,BGL,Unseen,generating core.<*>,0.4851722717285156
generating core.28084,generating core.<*>,BGL,Unseen,generating core.<*>,0.48462963104248047
generating core.6028,generating core.<*>,BGL,Unseen,generating <*>,0.3720824718475342
generating core.536,generating core.<*>,BGL,Unseen,generating core.<*>,0.4833190441131592
generating core.15655,generating core.<*>,BGL,Unseen,generating core.<*>,0.48247766494750977
generating core.8628,generating core.<*>,BGL,Unseen,generating <*>,0.35961389541625977
generating core.12122,generating core.<*>,BGL,Unseen,generating core.<*>,0.4865245819091797
generating core.2210,generating core.<*>,BGL,Unseen,generating core.<*>,0.4867825508117676
generating core.10312,generating core.<*>,BGL,Unseen,generating core.<*>,0.479461669921875
generating core.228,generating core.<*>,BGL,Unseen,generating core.<*>,0.48224401473999023
generating core.332,generating core.<*>,BGL,Unseen,generating core.<*>,0.4869413375854492
generating core.15740,generating core.<*>,BGL,Unseen,generating core.<*>,0.4822242259979248
generating core.3389,generating core.<*>,BGL,Unseen,generating core.<*>,0.48233866691589355
Can not get assembly information for node card,Can not get assembly information for node card,BGL,Unseen,Can not get assembly information for node card,0.6753253936767578
generating core.1114,generating core.<*>,BGL,Unseen,generating core.<*>,0.4812171459197998
generating core.848,generating core.<*>,BGL,Unseen,generating core.<*>,0.48122692108154297
generating core.2117,generating core.<*>,BGL,Unseen,generating core.<*>,0.48335957527160645
generating core.3293,generating core.<*>,BGL,Unseen,generating core.<*>,0.49073266983032227
generating core.1351,generating core.<*>,BGL,Unseen,generating core.<*>,0.48450398445129395
generating core.17222,generating core.<*>,BGL,Unseen,generating core.<*>,0.4843285083770752
generating core.20392,generating core.<*>,BGL,Unseen,generating core.<*>,0.48678064346313477
generating core.31006,generating core.<*>,BGL,Unseen,generating core.<*>,0.4919261932373047
generating core.20088,generating core.<*>,BGL,Unseen,generating core.<*>,0.4797935485839844
generating core.26993,generating core.<*>,BGL,Unseen,generating core.<*>,0.4800233840942383
generating core.20954,generating core.<*>,BGL,Unseen,generating core.<*>,0.479386568069458
generating core.6139,generating core.<*>,BGL,Unseen,generating core.<*>,0.4823720455169678
generating core.10185,generating core.<*>,BGL,Unseen,generating core.<*>,0.48920154571533203
generating core.13776,generating core.<*>,BGL,Unseen,generating core.<*>,0.48142433166503906
generating core.19596,generating core.<*>,BGL,Unseen,generating core.<*>,0.48084211349487305
generating core.15557,generating core.<*>,BGL,Unseen,generating core.<*>,0.48357152938842773
generating core.4193,generating core.<*>,BGL,Unseen,generating core.<*>,0.4946002960205078
generating core.7539,generating core.<*>,BGL,Unseen,generating core.<*>,0.4882686138153076
generating core.22024,generating core.<*>,BGL,Unseen,generating core.<*>,0.4834730625152588
generating core.22905,generating core.<*>,BGL,Unseen,generating core.<*>,0.48175597190856934
generating core.24671,generating core.<*>,BGL,Unseen,generating core.<*>,0.4849236011505127
generating core.17853,generating core.<*>,BGL,Unseen,generating core.<*>,0.4834890365600586
generating core.25568,generating core.<*>,BGL,Unseen,generating core.<*>,0.4879128932952881
generating core.23080,generating core.<*>,BGL,Unseen,generating core.<*>,0.47667503356933594
generating core.9739,generating core.<*>,BGL,Unseen,generating core.<*>,0.4890327453613281
generating core.7187,generating core.<*>,BGL,Unseen,generating core.<*>,0.48437070846557617
generating core.23438,generating core.<*>,BGL,Unseen,generating core.<*>,0.508375883102417
generating core.7881,generating core.<*>,BGL,Unseen,generating core.<*>,0.48990821838378906
generating core.9778,generating core.<*>,BGL,Unseen,generating <*>,0.3616671562194824
generating core.7915,generating core.<*>,BGL,Unseen,generating core.<*>,0.48555874824523926
generating core.3006,generating core.<*>,BGL,Unseen,generating core.<*>,0.5013442039489746
generating core.14627,generating core.<*>,BGL,Unseen,generating core.<*>,0.48447227478027344
generating core.2348,generating core.<*>,BGL,Unseen,generating <*>,0.3588860034942627
generating core.226,generating core.<*>,BGL,Unseen,generating core.<*>,0.5058670043945312
generating core.1219,generating core.<*>,BGL,Unseen,generating core.<*>,0.48706483840942383
generating core.8877,generating core.<*>,BGL,Unseen,generating core.<*>,0.5010743141174316
generating core.13558,generating core.<*>,BGL,Unseen,generating core.<*>,0.4921576976776123
generating core.404,generating core.<*>,BGL,Unseen,generating core.<*>,0.48243117332458496
generating core.631,generating core.<*>,BGL,Unseen,generating core.<*>,0.48629021644592285
generating core.998,generating core.<*>,BGL,Unseen,generating core.<*>,0.47872304916381836
generating core.1129,generating core.<*>,BGL,Unseen,generating core.<*>,0.47794222831726074
generating core.424,generating core.<*>,BGL,Unseen,generating core.<*>,0.47872233390808105
generating core.1213,generating core.<*>,BGL,Unseen,generating core.<*>,0.4798576831817627
generating core.1433,generating core.<*>,BGL,Unseen,generating core.<*>,0.4782276153564453
generating core.2950,generating core.<*>,BGL,Unseen,generating core.<*>,0.4786491394042969
generating core.319,generating core.<*>,BGL,Unseen,generating core.<*>,0.49117350578308105
generating core.303,generating core.<*>,BGL,Unseen,generating core.<*>,0.48778438568115234
generating core.1998,generating core.<*>,BGL,Unseen,generating core.<*>,0.5045959949493408
generating core.841,generating core.<*>,BGL,Unseen,generating core.<*>,0.47869277000427246
generating core.815,generating core.<*>,BGL,Unseen,generating core.<*>,0.4932115077972412
generating core.57762,generating core.<*>,BGL,Unseen,generating core.<*>,0.4861025810241699
generating core.3436,generating core.<*>,BGL,Unseen,generating core.<*>,0.4998745918273926
generating core.4592,generating core.<*>,BGL,Unseen,generating core.<*>,0.4911305904388428
generating core.149,generating core.<*>,BGL,Unseen,generating core.<*>,0.49707674980163574
generating core.62507,generating core.<*>,BGL,Unseen,generating core.<*>,0.49355125427246094
generating core.1807,generating core.<*>,BGL,Unseen,generating core.<*>,0.48415493965148926
generating core.9652,generating core.<*>,BGL,Unseen,generating core.<*>,0.4837305545806885
generating core.11154,generating core.<*>,BGL,Unseen,generating core.<*>,0.4841043949127197
generating core.7571,generating core.<*>,BGL,Unseen,generating core.<*>,0.48940324783325195
generating core.12364,generating core.<*>,BGL,Unseen,generating core.<*>,0.5075380802154541
generating core.13817,generating core.<*>,BGL,Unseen,generating core.<*>,0.5080695152282715
generating core.14349,generating core.<*>,BGL,Unseen,generating core.<*>,0.48777079582214355
generating core.8897,generating core.<*>,BGL,Unseen,generating core.<*>,0.49879002571105957
generating core.7946,generating core.<*>,BGL,Unseen,generating core.<*>,0.48190999031066895
generating core.10299,generating core.<*>,BGL,Unseen,generating core.<*>,0.48253726959228516
generating core.9949,generating core.<*>,BGL,Unseen,generating core.<*>,0.49003100395202637
generating core.12012,generating core.<*>,BGL,Unseen,generating core.<*>,0.48596930503845215
generating core.9051,generating core.<*>,BGL,Unseen,generating core.<*>,0.504267692565918
generating core.7752,generating core.<*>,BGL,Unseen,generating core.<*>,0.48303747177124023
generating core.10793,generating core.<*>,BGL,Unseen,generating core.<*>,0.4802827835083008
generating core.24671,generating core.<*>,BGL,Unseen,generating core.<*>,0.4806849956512451
generating core.40979,generating core.<*>,BGL,Unseen,generating core.<*>,0.484271764755249
generating core.18129,generating core.<*>,BGL,Unseen,generating core.<*>,0.5089480876922607
generating core.47738,generating core.<*>,BGL,Unseen,generating core.<*>,0.4857010841369629
generating core.42109,generating core.<*>,BGL,Unseen,generating <*>,0.3529183864593506
generating core.6682,generating core.<*>,BGL,Unseen,generating core.<*>,0.489992618560791
generating core.7672,generating core.<*>,BGL,Unseen,generating core.<*>,0.491591215133667
generating core.47122,generating core.<*>,BGL,Unseen,generating core.<*>,0.4891469478607178
generating core.17493,generating core.<*>,BGL,Unseen,generating core.<*>,0.4817664623260498
generating core.23664,generating core.<*>,BGL,Unseen,generating core.<*>,0.48522400856018066
generating core.19296,generating core.<*>,BGL,Unseen,generating core.<*>,0.48483896255493164
generating core.6553,generating core.<*>,BGL,Unseen,generating core.<*>,0.48624563217163086
generating core.56320,generating core.<*>,BGL,Unseen,generating core.<*>,0.47953104972839355
generating core.3824,generating core.<*>,BGL,Unseen,generating core.<*>,0.4809401035308838
generating core.5781,generating core.<*>,BGL,Unseen,generating core.<*>,0.4846982955932617
generating core.55191,generating core.<*>,BGL,Unseen,generating core.<*>,0.4783170223236084
generating core.38077,generating core.<*>,BGL,Unseen,generating core.<*>,0.5024969577789307
generating core.41557,generating core.<*>,BGL,Unseen,generating core.<*>,0.5061547756195068
generating core.36539,generating core.<*>,BGL,Unseen,generating core.<*>,0.49326634407043457
generating core.51900,generating core.<*>,BGL,Unseen,generating core.<*>,0.4882984161376953
generating core.33018,generating core.<*>,BGL,Unseen,generating core.<*>,0.48842668533325195
generating core.29433,generating core.<*>,BGL,Unseen,generating <*>,0.35596752166748047
